total_revenue,total_orders,total_items,avg_line_revenue,avg_unit_price,unique_products,unique_countries,customer_tenure_days,recency_days,avg_revenue_per_order,active_days,avg_days_between_orders,revenue_per_day,orders_per_day,recency_ratio,items_per_order
29358.61,23,35360,31.60237890204521,1.3784176533907426,613,1,167,9,1276.4613043478262,23,7.590909090909091,175.80005988023953,0.1377245508982036,0.0538922155688622,1537.391304347826
201.25,1,236,6.708333333333333,1.302,28,1,0,55,201.25,1,0.0,201.25,1.0,55.0,236.0
488.55,3,244,27.141666666666666,8.358333333333333,13,1,136,33,162.85,3,68.0,3.592279411764706,0.0220588235294117,0.2426470588235294,81.33333333333333
2658.35,6,550,42.19603174603174,6.995873015873016,34,1,161,16,443.0583333333333,6,32.2,16.511490683229813,0.0372670807453416,0.0993788819875776,91.66666666666669
593.72,1,388,16.046486486486486,2.9854054054054053,37,1,0,128,593.72,1,0.0,593.72,1.0,128.0,388.0
320.58,1,192,24.66,2.013076923076923,13,1,0,145,320.58,1,0.0,320.58,1.0,145.0,192.0
320.9,1,164,5.629824561403509,3.2703508771929823,53,1,0,94,320.9,1,0.0,320.9,1.0,94.0,164.0
1016.76,5,876,78.2123076923077,1.383076923076923,4,1,79,39,203.35200000000003,5,19.75,12.870379746835445,0.0632911392405063,0.4936708860759494,175.2
2414.16,12,1224,4.9879338842975205,2.6287396694214875,243,1,169,1,201.18,12,15.363636363636363,14.284970414201185,0.0710059171597633,0.0059171597633136,102.0
1227.73,8,622,11.919708737864076,2.9651456310679616,88,1,144,4,153.46625,8,20.571428571428573,8.525902777777778,0.0555555555555555,0.0277777777777777,77.75
385.2,1,152,25.68,2.283333333333333,14,1,0,135,385.2,1,0.0,385.2,1.0,135.0,152.0
772.04,2,206,7.082935779816514,4.499174311926605,86,1,99,59,386.02,2,99.0,7.798383838383838,0.0202020202020202,0.5959595959595959,103.0
136.29,1,166,10.483846153846152,1.189230769230769,13,1,0,46,136.29,1,0.0,136.29,1.0,46.0,166.0
198.2,1,100,24.775,2.475,8,1,0,163,198.2,1,0.0,198.2,1.0,163.0,100.0
3200.62,6,1721,20.257088607594937,3.108924050632911,130,1,139,30,533.4366666666666,6,27.8,23.026043165467627,0.0431654676258992,0.2158273381294964,286.8333333333333
212.49,2,143,4.009245283018868,2.321509433962264,49,1,2,87,106.245,2,2.0,106.245,1.0,43.5,71.5
409.1,1,200,17.045833333333334,2.889583333333333,24,1,0,173,409.1,1,0.0,409.1,1.0,173.0,200.0
2355.63,9,795,8.692361623616236,5.105645756457564,177,1,171,1,261.7366666666667,9,21.375,13.77561403508772,0.0526315789473684,0.0058479532163742,88.33333333333333
1464.85,2,825,20.926428571428573,2.7150000000000003,65,1,47,109,732.4250000000001,2,47.0,31.167021276595747,0.0425531914893617,2.3191489361702127,412.5
1883.88,6,801,48.30461538461539,2.8425641025641024,37,1,120,1,313.98,6,24.0,15.699000000000002,0.05,0.0083333333333333,133.5
295.5,3,202,59.1,3.15,5,1,146,5,98.5,3,73.0,2.0239726027397262,0.0205479452054794,0.0342465753424657,67.33333333333333
143.69,1,129,4.954827586206896,1.913793103448276,28,1,0,146,143.69,1,0.0,143.69,1.0,146.0,129.0
3158.19,9,2026,14.689255813953489,2.424232558139535,120,1,166,10,350.91,9,20.75,19.02524096385542,0.0542168674698795,0.0602409638554216,225.11111111111111
306.4,1,192,17.022222222222222,1.6655555555555557,18,1,0,53,306.4,1,0.0,306.4,1.0,53.0,192.0
